id,preg_rate,chlamydia_rate,child_poverty_rate,adherents_rate,women_uninsured_rate,obesity_rate,hs_grad_rate,single_parent_rate,feature_risk_rate,preg_rate_index,chlamydia_rate_index,child_poverty_rate_index,adherents_rate_index,women_uninsured_rate_index,feature_risk_rate_index,preg_rate_color,chlamydia_rate_color,women_uninsured_rate_color,child_poverty_rate_color,adherents_rate_color,feature_rate_color,predicted_vals,civil_war
1097,62,672,31,61.3,0,30,60,13,0,6,8,7,6,2,4,"rgb(33,113,181)","rgb(45,56,10)","rgb(227,149,95)","rgb(0,92,98)","rgb(83,20,114)","rgb(105,105,105)","rgb(120,32,21)","rgb(128,128,128)"
1099,62,420,32,64.8,0,36,67,12,0,6,7,7,7,2,4,"rgb(33,113,181)","rgb(68,85,15)","rgb(227,149,95)","rgb(0,92,98)","rgb(62,15,85)","rgb(105,105,105)","rgb(120,32,21)","rgb(128,128,128)"
1101,59,1185,28,69.7,0,33,49,14,0,6,8,7,7,2,4,"rgb(33,113,181)","rgb(45,56,10)","rgb(227,149,95)","rgb(0,92,98)","rgb(62,15,85)","rgb(105,105,105)","rgb(120,32,21)","rgb(128,128,128)"
1103,60,349,21,69.7,32,35,65,9,0,6,6,4,7,7,4,"rgb(33,113,181)","rgb(91,114,20)","rgb(129,66,23)","rgb(0,188,200)","rgb(62,15,85)","rgb(105,105,105)","rgb(120,32,21)","rgb(128,128,128)"
1105,55,1171,46,53.9,0,40,66,16,0,5,8,8,5,2,4,"rgb(66,146,198)","rgb(45,56,10)","rgb(227,149,95)","rgb(0,60,64)","rgb(104,25,142)","rgb(105,105,105)","rgb(120,32,21)","rgb(128,128,128)"
1107,54,368,30,68.4,26,35,68,12,0,5,7,7,7,6,4,"rgb(66,146,198)","rgb(68,85,15)","rgb(158,81,28)","rgb(0,92,98)","rgb(62,15,85)","rgb(105,105,105)","rgb(120,32,21)","rgb(128,128,128)"
1109,49,841,36,50.9,23,37,58,16,1,5,8,8,4,5,8,"rgb(66,146,198)","rgb(45,56,10)","rgb(187,96,33)","rgb(0,60,64)","rgb(125,31,171)","rgb(120,32,21)","rgb(120,32,21)","rgb(128,128,128)"
1111,72,375,29,57.3,0,32,65,9,0,7,7,7,5,2,4,"rgb(8,81,156)","rgb(68,85,15)","rgb(227,149,95)","rgb(0,92,98)","rgb(104,25,142)","rgb(105,105,105)","rgb(120,32,21)","rgb(128,128,128)"
1113,69,597,33,69.5,0,35,71,12,0,7,8,8,7,2,4,"rgb(8,81,156)","rgb(45,56,10)","rgb(227,149,95)","rgb(0,60,64)","rgb(62,15,85)","rgb(105,105,105)","rgb(120,32,21)","rgb(128,128,128)"
1115,57,225,17,43.9,28,34,67,7,0,6,5,3,3,6,4,"rgb(33,113,181)","rgb(114,142,25)","rgb(158,81,28)","rgb(0,219,234)","rgb(147,36,200)","rgb(105,105,105)","rgb(105,105,105)","rgb(128,128,128)"
